,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
0,Ohrid,41.13,20.87,70.41,51,29,7.14,MK,1601735065
1,Oristà,41.93,2.07,60.01,67,51,1.99,ES,1601735065
2,Le Châtelard,46.45,6.9,53.01,81,64,4.0,CH,1601735065
3,Croth,48.85,1.38,55.4,71,90,9.17,FR,1601735065
4,Mīrānpur Katra,28.03,79.65,82.2,44,0,4.14,IN,1601735065
5,Sumurgeneng,-6.8,111.96,82.99,70,99,4.63,ID,1601735066
6,Sincelejo,9.3,-75.4,79.68,82,59,6.24,CO,1601735066
7,Ulrichsberg,48.67,13.91,66.99,61,100,3.0,AT,1601735066
8,Viriato,12.29,124.35,81.09,81,100,3.58,PH,1601735066
9,Unterwürschnitz,50.38,12.25,66.0,77,40,14.99,DE,1601735066
10,Cilawu,-7.28,107.92,66.58,96,54,3.69,ID,1601735066
11,Krasnyye Chetai,55.69,46.14,57.36,64,3,3.58,RU,1601735066
12,Vignale,43.45,11.85,61.0,81,94,5.5,IT,1601735066
13,Xujia,27.65,116.69,74.25,95,44,4.81,CN,1601735066
14,Sem Peixe,-20.11,-42.84,95.4,25,12,6.24,BR,1601735066
15,San Giorgio delle Pertiche,45.54,11.89,71.6,83,40,6.93,IT,1601735066
16,Ostramondra,51.2,11.33,69.01,66,99,6.46,DE,1601735066
17,Poxdorf,50.97,11.75,69.01,77,56,9.55,DE,1601735067
18,Hats’avan,39.46,45.97,77.0,33,20,6.93,AM,1601735067
19,Lallio,45.67,9.63,66.2,55,20,6.93,IT,1601735067
20,Gérgeri,35.13,24.95,81.0,72,0,1.05,GR,1601735067
21,Järveotsa,59.42,24.63,62.6,67,55,17.22,EE,1601735067
22,Antweiler,50.4,6.83,54.0,90,100,7.0,DE,1601735067
23,Wenquan Xiaocun,24.96,102.45,68.0,100,20,6.71,CN,1601735067
24,Manduria,40.4,17.63,78.8,74,75,17.22,IT,1601735067
25,Indiaroba,-11.52,-37.51,84.33,54,52,8.43,BR,1601735067
26,Reyero,42.95,-5.2,55.0,52,92,3.0,ES,1601735067
27,Wilhelmshöhe,48.85,8.58,60.8,55,92,9.17,DE,1601735067
28,Traitsching,49.15,12.65,64.0,86,100,10.0,DE,1601735067
29,Rio Doce,-20.24,-42.9,96.39,24,17,6.08,BR,1601735067
30,Pihtipudas,63.41,25.59,54.99,73,47,7.54,FI,1601735068
31,Immerath,50.13,6.95,59.0,87,100,14.99,DE,1601735068
32,Dhaka Division,24.17,90.42,80.6,88,75,5.55,BD,1601735068
33,Lucklum,52.22,10.7,69.01,68,20,10.29,DE,1601735068
34,Pereda,43.02,-3.58,64.99,72,75,25.28,ES,1601735068
35,Serut,-8.14,112.19,75.45,88,67,6.31,ID,1601735068
36,Bell Bay,-41.12,146.87,55.0,94,100,0.56,AU,1601735068
37,Ormea,44.16,7.92,66.0,59,20,16.11,IT,1601735068
38,Gadoni,39.91,9.18,75.2,31,40,19.46,IT,1601735068
39,Zacatecas,23.0,-103.0,44.6,75,5,4.85,MX,1601734876
40,Lorvão,40.26,-8.32,66.0,58,40,8.01,PT,1601735068
41,Aşağı Karafakılı,36.78,36.56,82.4,58,0,18.34,TR,1601735068
42,Odala,13.48,120.82,77.0,95,99,1.99,PH,1601735068
43,Murindó,6.98,-76.75,80.08,83,10,3.94,CO,1601735068
44,Bad Karlshafen,51.64,9.45,68.0,68,75,16.11,DE,1601735069
45,Bellaria,44.15,12.47,71.6,82,75,8.05,IT,1601735069
46,Esterwegen,52.99,7.63,63.0,86,100,1.01,DE,1601735069
47,Sijiu,22.22,112.85,84.0,84,19,8.01,CN,1601734779
48,Wakayama,33.91,135.51,73.4,73,89,5.82,JP,1601735069
49,Cumayeri,40.87,30.95,76.12,35,0,5.66,TR,1601735069
50,Ramales de la Victoria,43.26,-3.47,62.01,72,75,25.28,ES,1601735069
